                    station,valid,lon,lat,drct,sped
      AEG,2023-12-10 00:49,-106.7952,35.1452,M,3.45
   AEG,2023-12-10 01:47,-106.7952,35.1452,0.00,0.00
 AEG,2023-12-10 02:47,-106.7952,35.1452,310.00,5.75
   AEG,2023-12-10 03:47,-106.7952,35.1452,0.00,0.00
 AEG,2023-12-10 04:55,-106.7952,35.1452,330.00,5.75
 AEG,2023-12-10 05:15,-106.7952,35.1452,320.00,4.60
 AEG,2023-12-10 05:35,-106.7952,35.1452,320.00,6.90
 AEG,2023-12-10 05:55,-106.7952,35.1452,300.00,4.60
 AEG,2023-12-10 06:15,-106.7952,35.1452,300.00,8.05
AEG,2023-12-10 06:35,-106.7952,35.1452,280.00,10.35
 AEG,2023-12-10 06:55,-106.7952,35.1452,280.00,9.20
 AEG,2023-12-10 07:15,-106.7952,35.1452,280.00,6.90
 AEG,2023-12-10 07:35,-106.7952,35.1452,290.00,6.90
 AEG,2023-12-10 07:55,-106.7952,35.1452,290.00,5.75
 AEG,2023-12-10 08:15,-106.7952,35.1452,300.00,5.75
 AEG,2023-12-10 08:35,-106.7952,35.1452,290.00,4.60
 AEG,2023-12-10 08:55,-106.7952,35.1452,320.00,3.45
 AEG,2023-12-10 09:15,-106.7952,35.1452,280.00,5.75
 AEG,2023-12-10 09:35,-106.7952,35.1452,320.00,3.45
 AEG,2023-12-10 09:55,-106.7952,35.1452,290.00,3.45
 AEG,2023-12-10 10:15,-106.7952,35.1452,240.00,5.75
 AEG,2023-12-10 10:35,-106.7952,35.1452,290.00,3.45
 AEG,2023-12-10 10:55,-106.7952,35.1452,290.00,6.90
   AEG,2023-12-10 11:15,-106.7952,35.1452,0.00,0.00
   AEG,2023-12-10 11:35,-106.7952,35.1452,0.00,0.00
 AEG,2023-12-10 11:55,-106.7952,35.1452,170.00,3.45
   AEG,2023-12-10 12:15,-106.7952,35.1452,0.00,0.00
   AEG,2023-12-10 12:35,-106.7952,35.1452,0.00,0.00
   AEG,2023-12-10 13:00,-106.7952,35.1452,0.00,0.00
 AEG,2023-12-10 13:47,-106.7952,35.1452,280.00,3.45
 AEG,2023-12-10 14:47,-106.7952,35.1452,270.00,5.75
 AEG,2023-12-10 15:47,-106.7952,35.1452,270.00,5.75
AEG,2023-12-10 16:48,-106.7952,35.1452,300.00,10.35
 AEG,2023-12-10 18:50,-106.7952,35.1452,310.00,8.05
 AEG,2023-12-10 19:47,-106.7952,35.1452,270.00,6.90
 AEG,2023-12-10 20:47,-106.7952,35.1452,240.00,6.90
 AEG,2023-12-10 21:47,-106.7952,35.1452,230.00,4.60
 AEG,2023-12-10 22:47,-106.7952,35.1452,160.00,6.90
   AEG,2023-12-10 23:47,-106.7952,35.1452,0.00,0.00
   AEG,2023-12-11 00:47,-106.7952,35.1452,0.00,0.00
   AEG,2023-12-11 01:47,-106.7952,35.1452,0.00,0.00
      AEG,2023-12-11 02:47,-106.7952,35.1452,M,4.60
      AEG,2023-12-11 03:49,-106.7952,35.1452,M,6.90
 AEG,2023-12-11 04:55,-106.7952,35.1452,350.00,5.75
 AEG,2023-12-11 05:15,-106.7952,35.1452,320.00,3.45
   AEG,2023-12-11 05:35,-106.7952,35.1452,0.00,0.00
   AEG,2023-12-11 05:55,-106.7952,35.1452,0.00,0.00
 AEG,2023-12-11 06:15,-106.7952,35.1452,330.00,3.45
 AEG,2023-12-11 06:35,-106.7952,35.1452,210.00,3.45
 AEG,2023-12-11 06:55,-106.7952,35.1452,230.00,4.60
 AEG,2023-12-11 07:15,-106.7952,35.1452,220.00,4.60
 AEG,2023-12-11 07:35,-106.7952,35.1452,230.00,5.75
 AEG,2023-12-11 07:55,-106.7952,35.1452,250.00,8.05
 AEG,2023-12-11 08:15,-106.7952,35.1452,270.00,5.75
 AEG,2023-12-11 08:35,-106.7952,35.1452,280.00,5.75
 AEG,2023-12-11 08:55,-106.7952,35.1452,280.00,5.75
 AEG,2023-12-11 09:15,-106.7952,35.1452,290.00,5.75
 AEG,2023-12-11 09:35,-106.7952,35.1452,290.00,9.20
   AEG,2023-12-11 09:55,-106.7952,35.1452,0.00,0.00
   AEG,2023-12-11 10:15,-106.7952,35.1452,0.00,0.00
   AEG,2023-12-11 10:35,-106.7952,35.1452,0.00,0.00
   AEG,2023-12-11 10:55,-106.7952,35.1452,0.00,0.00
 AEG,2023-12-11 11:15,-106.7952,35.1452,320.00,3.45
   AEG,2023-12-11 11:35,-106.7952,35.1452,0.00,0.00
 AEG,2023-12-11 11:55,-106.7952,35.1452,320.00,5.75
 AEG,2023-12-11 12:15,-106.7952,35.1452,320.00,3.45
 AEG,2023-12-11 12:35,-106.7952,35.1452,320.00,3.45
 AEG,2023-12-11 12:55,-106.7952,35.1452,310.00,6.90
 AEG,2023-12-11 13:47,-106.7952,35.1452,340.00,6.90
 AEG,2023-12-11 14:52,-106.7952,35.1452,320.00,6.90
   AEG,2023-12-11 15:50,-106.7952,35.1452,0.00,0.00
   AEG,2023-12-11 17:48,-106.7952,35.1452,0.00,0.00
   AEG,2023-12-11 18:47,-106.7952,35.1452,0.00,0.00
   AEG,2023-12-11 19:50,-106.7952,35.1452,0.00,0.00
   AEG,2023-12-11 20:47,-106.7952,35.1452,0.00,0.00
   AEG,2023-12-11 21:49,-106.7952,35.1452,0.00,0.00
      AEG,2023-12-11 22:47,-106.7952,35.1452,M,3.45
   AEG,2023-12-11 23:47,-106.7952,35.1452,0.00,0.00
