,date,lon,lat,mean_wind_speed,mode_wind_direction
GNT,2023-11-29 00:15,-107.9021,35.1673,3.7395104895104896,180.0
GUP,2023-11-29 00:00,-108.7893,35.5111,4.402857142857143,180.0
FMN,2023-11-29 00:00,-108.2292,36.7436,5.06420265780731,185.75
RQE,2023-11-29 00:00,-109.0614,35.6575,2.678637059724349,180.0
INW,2023-11-29 00:00,-110.7225,35.0219,4.139205526770294,180.0
PGA,2023-11-29 00:00,-111.4484,36.9261,1.0071774193548388,180.0
GCN,2023-11-29 00:00,-112.1547,35.9461,4.579185520361991,185.75
CMR,2023-11-29 00:15,-112.1947,35.3054,6.6499999999999995,188.04999999999998
BDG,2023-11-29 15:33,-109.4831,37.5828,2.9899999999999998,185.75
AEG,2023-11-29 00:48,-106.7952,35.1452,3.5635802469135798,180.0
CEZ,2023-11-29 00:00,-108.6281,37.303,3.8123794212218645,180.0
ONM,2023-11-29 00:15,-106.9031,34.0225,6.548611111111111,184.6
